Reagents,Reactant InChI,Product InChI,
BH3 then NaOH | H2O2,InChI=1S/C2H4/c1-2/h1-2H2,"InChI=1/C2H6O/c1-2-3/h3H,2H2,1H3","BH3 then NaOH | H2O2%InChI=1S/C2H4/c1-2/h1-2H2%InChI=1/C2H6O/c1-2-3/h3H,2H2,1H3"
BH3 then NaOH | H2O2,"InChI=1S/C3H6/c1-3-2/h3H,1H2,2H3","InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3","BH3 then NaOH | H2O2%InChI=1S/C3H6/c1-3-2/h3H,1H2,2H3%InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3"
BH3 then NaOH | H2O2,"InChI=1/C4H8/c1-3-4-2/h3H,1,4H2,2H3","InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3","BH3 then NaOH | H2O2%InChI=1/C4H8/c1-3-4-2/h3H,1,4H2,2H3%InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3"
BH3 then NaOH | H2O2,"InChI=1/C5H10/c1-3-5-4-2/h3H,1,4-5H2,2H3","InChI=1S/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3","BH3 then NaOH | H2O2%InChI=1/C5H10/c1-3-5-4-2/h3H,1,4-5H2,2H3%InChI=1S/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3"
BH3 then NaOH | H2O2,"InChI=1S/C6H12/c1-3-5-6-4-2/h3H,1,4-6H2,2H3","InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3","BH3 then NaOH | H2O2%InChI=1S/C6H12/c1-3-5-6-4-2/h3H,1,4-6H2,2H3%InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3"
BH3 then NaOH | H2O2,"InChI=1S/C7H14/c1-3-5-7-6-4-2/h3H,1,4-7H2,2H3","InChI=1S/C7H16O/c1-2-3-4-5-6-7-8/h8H,2-7H2,1H3","BH3 then NaOH | H2O2%InChI=1S/C7H14/c1-3-5-7-6-4-2/h3H,1,4-7H2,2H3%InChI=1S/C7H16O/c1-2-3-4-5-6-7-8/h8H,2-7H2,1H3"
BH3 then NaOH | H2O2,"InChI=1S/C8H16/c1-3-5-7-8-6-4-2/h3H,1,4-8H2,2H3","InChI=1S/C8H18O/c1-2-3-4-5-6-7-8-9/h9H,2-8H2,1H3","BH3 then NaOH | H2O2%InChI=1S/C8H16/c1-3-5-7-8-6-4-2/h3H,1,4-8H2,2H3%InChI=1S/C8H18O/c1-2-3-4-5-6-7-8-9/h9H,2-8H2,1H3"
BH3 then NaOH | H2O2,"InChI=1S/C9H18/c1-3-5-7-9-8-6-4-2/h3H,1,4-9H2,2H3","InChI=1S/C9H20O/c1-2-3-4-5-6-7-8-9-10/h10H,2-9H2,1H3","BH3 then NaOH | H2O2%InChI=1S/C9H18/c1-3-5-7-9-8-6-4-2/h3H,1,4-9H2,2H3%InChI=1S/C9H20O/c1-2-3-4-5-6-7-8-9-10/h10H,2-9H2,1H3"
BH3 then NaOH | H2O2,"InChI=1S/C10H20/c1-3-5-7-9-10-8-6-4-2/h3H,1,4-10H2,2H3","InChI=1S/C10H22O/c1-2-3-4-5-6-7-8-9-10-11/h11H,2-10H2,1H3","BH3 then NaOH | H2O2%InChI=1S/C10H20/c1-3-5-7-9-10-8-6-4-2/h3H,1,4-10H2,2H3%InChI=1S/C10H22O/c1-2-3-4-5-6-7-8-9-10-11/h11H,2-10H2,1H3"
H2SO4 | H2O,"InChI=1S/C3H6/c1-3-2/h3H,1H2,2H3","InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3","H2SO4 | H2O%InChI=1S/C3H6/c1-3-2/h3H,1H2,2H3%InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3"
